iter	MultiClass
0	1.0477643
1	1.003423919
2	0.9689183644
3	0.9391703772
4	0.9141444167
5	0.8892295737
6	0.8604344835
7	0.8413394935
8	0.820365388
9	0.8025760646
10	0.7852787926
11	0.7690712283
12	0.7577429348
13	0.7444531611
14	0.73153118
15	0.7201507959
16	0.7111438123
17	0.7000819359
18	0.6912449259
19	0.6831183271
20	0.672939228
21	0.6631080623
22	0.6563199115
23	0.65141655
24	0.6456600522
25	0.6379459816
26	0.6316469732
27	0.6248177532
28	0.6179800873
29	0.6134316623
30	0.6095967274
31	0.6042288418
32	0.6003389637
33	0.5953749251
34	0.5907142349
35	0.5864145218
36	0.5830703707
37	0.5779627188
38	0.5733015027
39	0.5699182101
40	0.566189089
41	0.5628961441
42	0.5602465512
43	0.5570003504
44	0.5547974237
45	0.5512444981
46	0.5476914502
47	0.5454048279
48	0.5419482716
49	0.5387602107
50	0.5371572739
51	0.5357633022
52	0.5331520916
53	0.531019247
54	0.5278509403
55	0.5259616006
56	0.5223046715
57	0.5203474925
58	0.5185508608
59	0.5154616353
60	0.5120449669
61	0.510715864
62	0.508543396
63	0.5068693463
64	0.5044179906
65	0.5022957829
66	0.5010970038
67	0.4999255419
68	0.498325182
69	0.4964119755
70	0.4948150044
71	0.4923665943
72	0.4896811873
73	0.4882401747
74	0.4867222918
75	0.4851963286
76	0.4841070062
77	0.4822552058
78	0.4800113472
79	0.4780961778
80	0.4763191843
81	0.474886489
82	0.472925842
83	0.4711643644
84	0.4697127897
85	0.4666728053
86	0.4652056809
87	0.4634738692
88	0.4612787225
89	0.459570062
90	0.4587284502
91	0.4562245158
92	0.45536649
93	0.4544269706
94	0.4521527267
95	0.4510378871
96	0.4494948466
97	0.4481990392
98	0.4463017614
99	0.4446474803
100	0.4430916942
101	0.4412265671
102	0.4406680814
103	0.4389784888
104	0.4372267294
105	0.435603455
106	0.4349222143
107	0.4335177029
108	0.4319037119
109	0.4305672127
110	0.4282887135
111	0.4268118222
112	0.4249941129
113	0.4231894732
114	0.4218297265
115	0.4208233802
116	0.419819925
117	0.4190038242
118	0.417616141
119	0.4161748218
120	0.4148742279
121	0.4137967895
122	0.4126922798
123	0.4110721976
124	0.4102744433
125	0.4089245551
126	0.4076690417
127	0.4061218406
128	0.4048356279
129	0.403233211
130	0.4016381672
131	0.4004928185
132	0.399378412
133	0.3987158648
134	0.3977037425
135	0.3963221676
136	0.3950457753
137	0.3943029939
138	0.3931847108
139	0.3915596573
140	0.3906102779
141	0.3895184163
142	0.3887110633
143	0.3876022023
144	0.3867354144
145	0.3856431
146	0.3849610369
147	0.384326836
148	0.383469001
149	0.382405914
150	0.3816067637
151	0.3806927907
152	0.3799329416
153	0.3790383902
154	0.3781460141
155	0.3772289892
156	0.3760421524
157	0.3752372434
158	0.3740205053
159	0.3727155972
160	0.3721254859
161	0.3710217389
162	0.3698583833
163	0.3687801714
164	0.367807243
165	0.3670365259
166	0.3653521313
167	0.3646625162
168	0.3638775597
169	0.3632237928
170	0.3622116859
171	0.360735982
172	0.3600005588
173	0.3593948672
174	0.3582864571
175	0.3574329002
176	0.3566513362
177	0.3556911155
178	0.3545185811
179	0.3539465338
180	0.3529516063
181	0.3521458809
182	0.3514244361
183	0.3505355893
184	0.3498149673
185	0.3489530264
186	0.3484054147
187	0.3475960791
188	0.3467169314
189	0.3460897475
190	0.345354407
191	0.3447731868
192	0.3441869821
193	0.3433890891
194	0.3422973155
195	0.341768015
196	0.3408131041
197	0.3400781151
198	0.3396828684
199	0.3387013593
200	0.3381842428
201	0.3374755055
202	0.3367545577
203	0.3362134192
204	0.3354593831
205	0.3347407404
206	0.3340265508
207	0.3336581993
208	0.3330578072
209	0.3323366854
210	0.3318695395
211	0.3315339487
212	0.3310069503
213	0.330279724
214	0.3297845714
215	0.329326348
216	0.3288993931
217	0.3283301749
218	0.3276005561
219	0.3268754098
220	0.3263561182
221	0.3258363697
222	0.3255128177
223	0.3249281846
224	0.3241622147
225	0.3236040253
226	0.3225656412
227	0.3222907693
228	0.321864711
229	0.3214016905
230	0.3210423163
231	0.320622449
232	0.3201811286
233	0.3195978311
234	0.318842143
235	0.318499835
236	0.3180911958
237	0.3173711579
238	0.3167917686
239	0.3162677784
240	0.3158816658
241	0.3153657624
242	0.3149222821
243	0.314501426
244	0.3137992201
245	0.3134118194
246	0.312950493
247	0.3125017441
248	0.3122473148
249	0.3118972215
250	0.3114114202
251	0.3107327483
252	0.3099654925
253	0.3093345123
254	0.3090080886
255	0.308127633
256	0.3073999522
257	0.3068083972
258	0.3062623957
259	0.3059834466
260	0.3053086054
261	0.3048600611
262	0.3043262011
263	0.3039884998
264	0.3035176858
265	0.3028236801
266	0.3024222198
267	0.3019536625
268	0.3015663013
269	0.3012108849
270	0.3010284942
271	0.3007105065
272	0.3002295587
273	0.2995866959
274	0.2988901975
275	0.2985030312
276	0.2981135511
277	0.297874928
278	0.2976680355
279	0.2971541475
280	0.2968612307
281	0.2965001602
282	0.2958658588
283	0.2951962607
284	0.2947929868
285	0.2943179501
286	0.2940641139
